Name,Focus 5D 2019 1.5L Ti-VCT時尚型,Focus 5D 2019 EcoBoost 182時尚經典型,Focus 5D 2019 ST-Line
新車售價,67.8萬,78.8萬,89.8萬
車身型式,中型掀背車,中型掀背車,中型掀背車
變速系統,手自排6速,手自排8速,手自排8速
排氣量,1497cc,1497cc,1497cc
能源局公佈平均油耗,16.7km/ltr,17.3km/ltr,16.7km/ltr
能源效率等級,1,1,1
車長(mm),4378mm,4378mm,4378mm
車寬(mm),1825mm,1825mm,1825mm
車高(mm),1480mm,1480mm,1480mm
軸距(mm),2700mm,2700mm,2700mm
車重(kg),1281kg,1323kg,1360kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
油箱容量(L),52L,52L,52L
行李容積(L),341L,341L,341L
前輪距(mm),1565mm,1565mm,1565mm
後輪距(mm),1550mm,1550mm,1550mm
進氣型式,自然吸氣,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列三缸,直列三缸,直列三缸
汽門數,12,12,12
壓縮比,11.0,11.0,11.0
最大馬力,123hp@6500rpm,182hp@6500rpm,182hp@6500rpm
最大扭力,15.3kgm@4500rpm,24.5kgm@1600~4500rpm,24.5kgm@1600~4500rpm
缸徑(mm),84mm,84mm,84mm
衝程(mm),90mm,90mm,90mm
驅動型式,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑,扭力樑
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,205/60R16,205/60R16,235/40R18
後輪尺碼,205/60R16,205/60R16,235/40R18
引擎擺放位置,前置,前置,前置
運動外觀套件,-,-,●
輪圈規格,16吋,16吋,18吋
後雨刷,●,●,●
感應式雨刷,-,-,●
後視鏡自動防眩目,-,-,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
方向盤換檔,-,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
抬頭顯示幕,-,-,●
Keyless免匙系統,-,●,●
中控鎖,●,●,●
衛星導航,-,-,●
恆溫空調,雙區,雙區,雙區
後座出風口,-,●,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
胎壓偵測,-,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,BOS/EBD/EBA,BOS/EBD/EBA,BOS/EBD/EBA
動態穩定系統,ETS/ESP,ETS/ESP,ETS/ESP
車道偏離警示,-,-,●
循跡系統,TCS,TCS,TCS
主動安全預防系統,-,-,●
斜坡起步輔助,●,●,●
定速系統,●,●,●
盲點偵測系統,-,-,●
駕駛警示系統,-,-,●
倒車雷達,四眼式,四眼式,四眼式
倒車顯影系統,-,●,●
防盜系統,●,●,●
主動式智慧定速系統,-,-,●
電子手剎車,-,●,●
駕駛模式選擇,●,●,●
座椅材質,織布,皮革,皮革
座椅高低調整,●,●,●
腰部支撐調整,-,-,駕駛座
前座座椅調整,●,●,●
後座分離式傾倒,6/4,6/4,6/4
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,●,●,●
多媒體系統,8吋,8吋,"8吋,SYNC 3"
藍牙通訊,●,●,●
音響系統,●,●,B&O
音響喇叭數量,6,6,10
頭燈光源,鹵素,鹵素,LED
感應頭燈,●,●,●
頭燈水準自動調整,-,-,●
自適應遠近光,-,-,●
LED日行燈,●,●,●
LED尾燈,●,●,●
前霧燈,●,●,●
後霧燈,●,●,●
引擎啟閉系統,-,●,●
