Name,3 5D 2019 尊榮進化版,3 5D 2019 尊榮安全版
新車售價,79.9萬,88.9萬
車身型式,中型掀背車,中型掀背車
動力型式,汽油,汽油
變速系統,手自排6速,手自排6速
排氣量,1998cc,1998cc
能源局公佈平均油耗,15.6km/ltr,15.6km/ltr
能源效率等級,1,1
燃料稅,6180元,6180元
牌照稅,11230元,11230元
車長(mm),4470mm,4470mm
車寬(mm),1795mm,1795mm
車高(mm),1465mm,1465mm
軸距(mm),2700mm,2700mm
車重(kg),1320kg,1320kg
車門數,5門,5門
乘客數,5座,5座
油箱容量(L),51L,51L
行李容積(L),350L,350L
前輪距(mm),1555mm,1555mm
後輪距(mm),1560mm,1560mm
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,14.0,14.0
最大馬力,165hp@6000rpm,165hp@6000rpm
最大扭力,21.4kgm@4000rpm,21.4kgm@4000rpm
缸徑(mm),83.5mm,83.5mm
衝程(mm),91.2mm,91.2mm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,205/60R16,215/45R18
後輪尺碼,205/60R16,215/45R18
引擎擺放位置,前置,前置
輪圈規格,16吋,18吋
後雨刷,●,●
感應式雨刷,-,●
後視鏡自動防眩目,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
抬頭顯示幕,-,●
Keyless免匙系統,●,●
中控鎖,●,●
衛星導航,○,○
恆溫空調,●,雙區
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,EBD/BAS/ESS/SCBS-F/SBS,EBD/BAS/ESS/SCBS-F/SBS
動態穩定系統,DSC,DSC
車道偏離警示,-,●
循跡系統,TCS,TCS
主動安全預防系統,●,●
斜坡起步輔助,●,●
定速系統,●,●
盲點偵測系統,●,●
倒車雷達,後,前後
倒車顯影系統,●,●
防盜系統,●,●
主動式智慧定速系統,-,●
電子手剎車,-,●
駕駛模式選擇,●,●
座椅材質,真皮,真皮
座椅高低調整,●,駕駛座電動六向
前座座椅調整,●,●
後座分離式傾倒,6/4,6/4
後座杯架,●,●
後座扶手,●,●
外部音源接入,●,●
多媒體系統,7吋,7吋
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,6,6
頭燈光源,LED,LED
感應頭燈,-,●
頭燈水準自動調整,●,●
自適應遠近光,-,●
LED日行燈,●,●
LED尾燈,●,●
前霧燈,-,●
後霧燈,●,●
引擎啟閉系統,-,●
