Name,Sentra 2019 豪華版,Sentra 2019 旗艦版,Sentra 2019 尊爵版
新車售價,71.5萬,74.5萬,79.9萬
車身型式,中型房車,中型房車,中型房車
動力型式,汽油,汽油,汽油
變速系統,無段變速CVT,無段變速CVT,無段變速CVT
排氣量,1798cc,1798cc,1798cc
能源局公佈平均油耗,15.5km/ltr,15.5km/ltr,15.0km/ltr
能源效率等級,1級,1級,2級
燃料稅,4800元,4800元,4800元
牌照稅,7120元,7120元,7120元
車長(mm),4636mm,4636mm,4636mm
車寬(mm),1760mm,1760mm,1760mm
車高(mm),1495mm,1495mm,1495mm
軸距(mm),2700mm,2700mm,2700mm
車重(kg),1255kg,1255kg,1255kg
車門數,4門,4門,4門
乘客數,5座,5座,5座
油箱容量(L),52L,52L,52L
行李容積(L),510L,510L,510L
進氣型式,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
壓縮比,9.9,9.9,9.9
最大馬力,131hp/6000rpm,131hp/6000rpm,131hp/6000rpm
最大扭力,17.8kgm/3600rpm,17.8kgm/3600rpm,17.8kgm/3600rpm
缸徑(mm),79.7mm,79.7mm,79.7mm
衝程(mm),90.1mm,90.1mm,90.1mm
驅動型式,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑,扭力樑
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,195/60R16,195/60R16,205/50R17
後輪尺碼,195/60R16,195/60R16,205/50R17
引擎擺放位置,前置,前置,前置
電動天窗,-,-,●
運動外觀套件,-,-,●
輪圈規格,16吋,16吋,17吋
後視鏡電動折疊,-,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,-,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
環景影像系統,-,-,●
Keyless免匙系統,-,●,●
中控鎖,●,●,●
衛星導航,-,●,●
行車紀錄器,-,-,●
恆溫空調,-,雙區,雙區
後座出風口,●,●,●
車內粉塵過濾,-,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD/BOS/BAS,EBD/BOS/BAS,EBD/BOS/BAS
動態穩定系統,VDC,VDC,VDC
循跡系統,TCS,TCS,TCS
斜坡起步輔助,●,●,●
定速系統,●,●,●
盲點偵測系統,-,●,●
駕駛警示系統,●,●,●
倒車雷達,●,●,●
倒車顯影系統,-,-,●
防盜系統,-,-,●
座椅材質,皮革,皮革,皮革
座椅高低調整,●,●,●
前座座椅調整,●,●,●
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,●,●,●
多媒體系統,7吋,8吋,8吋
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,4,4,6
頭燈光源,鹵素,鹵素,鹵素
感應頭燈,●,●,●
LED日行燈,●,●,●
LED尾燈,●,●,●
前霧燈,●,●,●
後霧燈,●,●,●
