Name,7 SUV 2013 精緻型,7 SUV 2013 豪華型,7 SUV 2013 尊爵型,7 SUV 2013 旗艦型2WD,7 SUV 2013 SPORTS+,7 SUV 2013 旗艦型4WD,7 SUV 2013 旗艦型7人座
新車售價,87萬,94萬,101萬,111萬,116萬,118萬,127萬
車身型式,大型SUV休旅,大型SUV休旅,大型SUV休旅,大型SUV休旅,大型SUV休旅,大型SUV休旅,大型SUV休旅
動力型式,汽油,汽油,汽油,汽油,汽油,汽油,汽油
變速系統,手自排5速,手自排5速,手自排5速,手自排5速,手自排5速,手自排5速,手自排5速
排氣量,2198cc,2198cc,2198cc,2198cc,2198cc,2198cc,2198cc
能源局公佈平均油耗,9.4km/ltr,9.4km/ltr,9.4km/ltr,9.4km/ltr,9.4km/ltr,8.4km/ltr,9.4km/ltr
燃料稅,6180元,6180元,6180元,6180元,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元,11230元,11230元,11230元,11230元
車長(mm),4800mm,4800mm,4800mm,4800mm,4800mm,4800mm,4800mm
車寬(mm),1930mm,1930mm,1930mm,1930mm,1930mm,1930mm,1930mm
車高(mm),1760mm,1760mm,1760mm,1760mm,1760mm,1760mm,1760mm
軸距(mm),2910mm,2910mm,2910mm,2910mm,2910mm,2910mm,2910mm
車重(kg),1860kg,1860kg,1860kg,1860kg,1860kg,1960kg,1860kg
車門數,5門,5門,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座,5座,7座
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16,16,16
壓縮比,9.5,9.5,9.5,9.5,9.5,9.5,9.5
最大馬力,175hp@5200rpm,175hp@5200rpm,175hp@5200rpm,175hp@5200rpm,175hp@5200rpm,175hp@5200rpm,175hp@5200rpm
最大扭力,28.0kgm@2500~4000rpm,28.0kgm@2500~4000rpm,28.0kgm@2500~4000rpm,28.0kgm@2500~4000rpm,28.0kgm@2500~4000rpm,28.0kgm@2500~4000rpm,28.0kgm@2500~4000rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,四輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑,扭力樑,扭力樑,扭力樑,扭力樑,扭力樑
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,235/55R18,235/55R18,235/55R18,235/55R18,235/55R18,235/55R18,235/55R18
後輪尺碼,235/55R18,235/55R18,235/55R18,235/55R18,235/55R18,235/55R18,235/55R18
電動天窗,-,●,●,●,●,●,●
電動開闔尾門/行李蓋,●,●,●,●,●,●,●
車頂行李架,-,-,●,●,●,●,●
旅程電腦,●,●,●,●,●,●,●
中央顯示幕,●,●,●,●,●,●,●
環景影像系統,-,●,●,●,●,●,●
Keyless免匙系統,●,●,●,●,●,●,●
衛星導航,-,●,●,●,●,●,●
恆溫空調,●,●,●,●,●,●,●
後座出風口,●,●,●,●,●,●,●
前座正面氣囊,●,●,●,●,●,●,●
前座側面氣囊,-,-,-,●,●,●,●
側面氣簾,-,-,-,●,●,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISOFIX,ISOFIX,ISOFIX,ISOFIX,ISOFIX
ABS防鎖死,●,●,●,●,●,●,●
車道偏離警示,-,-,●,●,●,●,●
循跡系統,-,-,●,●,●,●,●
斜坡起步輔助,●,●,●,●,●,●,●
定速系統,-,-,●,●,●,●,●
倒車雷達,●,●,●,●,●,●,●
倒車顯影系統,●,●,●,●,●,●,●
防盜系統,●,●,●,●,●,●,●
前座座椅調整,-,-,-,●,●,●,●
後座分離式傾倒,●,●,●,●,●,●,●
後座杯架,●,●,●,●,●,●,●
外部音源接入,AUX-IN,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN
藍牙通訊,-,●,●,●,●,●,●
音響系統,MP3、DVD、CD,MP3、DVD、CD,MP3、DVD、CD,MP3、DVD、CD,MP3、DVD、CD,MP3、DVD、CD,MP3、DVD、CD
音響喇叭數量,6只,6只,8只,8只,8只,8只,8只
後座影音功能,-,-,-,●,●,●,●
頭燈光源,-,-,HID,HID,HID,HID,HID
感應頭燈,-,-,●,●,●,●,●
主動轉向頭燈,-,-,-,●,●,●,●
前霧燈,-,●,●,●,●,●,●
後霧燈,●,●,●,●,●,●,●
夜視輔助系統,-,-,-,●,●,●,●
