Name,Huracan Spyder 2018 Performante Spyder,Huracan Spyder 2018 RWD Spyder,Huracan Spyder 2018 Spyder
新車售價,請洽總代理,1358萬,1600萬
車身型式,敞篷車,敞篷車,敞篷車
動力型式,汽油,汽油,汽油
變速系統,自手排7速,自手排7速,自手排7速
排氣量,5204cc,5204cc,5204cc
極速(km/h),325km/h,319km/h,320km/h
官方0-100km/h加速(s),3.1s,3.6s,3.4s
能源局公佈平均油耗,7.14km/ltr,-,-
燃料稅,12180元,12180元,12180元
牌照稅,46170元,46170元,46170元
車長(mm),4506mm,4459mm,4459mm
車寬(mm),1924mm,1924mm,1924mm
車高(mm),1180mm,1165mm,1165mm
軸距(mm),2620mm,2620mm,2620mm
車重(kg),1507kg,1389kg,1389kg
車門數,2門,2門,2門
乘客數,2座,2座,2座
油箱容量(L),83L,83L,83L
進氣型式,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型10缸,V型10缸,V型10缸
汽門數,40,40,40
壓縮比,12.7,12.7,12.7
最大馬力,640hp@8000rpm,580hp@8000rpm,610hp@8000rpm
最大扭力,61.2kgm@6500rpm,55.1kgm@6500rpm,57.1kgm@6500rpm
驅動型式,四輪驅動,後輪驅動,四輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂
後輪懸吊,雙A臂,雙A臂,雙A臂
煞車型式,前後碟煞,前後碟煞,碳纖維陶瓷煞車碟盤
前輪尺碼,245/30R20,245/35R19,245/30R20
後輪尺碼,305/30R20,305/35R19,305/30R20
引擎擺放位置,中置,中置,中置
輪圈規格,20吋,19吋,20吋
感應式雨刷,●,●,●
後視鏡自動防眩目,車內,車內,車內
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
方向盤調整,●,●,●
多功能方向盤,●,●,●
方向盤換檔,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
Keyless免匙系統,●,●,●
恆溫空調,●,●,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
胎壓偵測,●,●,●
ABS防鎖死,●,●,●
煞車輔助系統,EBD,EBD,EBD
動態穩定系統,ESP,ESP,ESP
循跡系統,●,●,●
斜坡起步輔助,●,●,-
定速系統,●,●,●
倒車雷達,●,●,●
倒車顯影系統,●,●,●
防盜系統,●,●,●
電子懸吊,●,●,●
電子差速器,●,●,●
電子手剎車,●,●,●
駕駛模式選擇,●,●,●
座椅材質,-,-,真皮
跑車式座椅,●,●,●
座椅高低調整,雙前座電動,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動,雙前座電動
前座座椅調整,●,●,●
加熱座椅,●,●,●
外部音源接入,●,●,●
多媒體系統,●,●,●
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,●,●,10
頭燈光源,LED,LED,LED
感應頭燈,●,●,●
LED日行燈,●,●,●
LED尾燈,●,●,●
前霧燈,●,●,●
後霧燈,●,●,●
引擎啟閉系統,●,●,●
