Name,DB9 2014 6.0 V12
新車售價,1180萬
車身型式,雙門跑車
動力型式,汽油
變速系統,手自排6速
排氣量,5935cc
燃料稅,13080元
牌照稅,69690元
車長(mm),4720mm
車寬(mm),1875mm
車高(mm),1282mm
軸距(mm),2740mm
車重(kg),1785kg
車門數,2門
乘客數,2+2座
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,V型12缸
汽門數,48
壓縮比,10.3
最大馬力,517hp@6500rpm
最大扭力,63.2kgm@5500rpm
驅動型式,後輪驅動
前輪懸吊,雙A臂
後輪懸吊,雙A臂
煞車型式,前後碟煞
前輪尺碼,235/35R20 295/30R20
後輪尺碼,235/35R20 295/30R20
感應式雨刷,●
方向盤調整,電動
方向盤換檔,●
旅程電腦,●
Keyless免匙系統,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
胎壓偵測,●
ABS防鎖死,●
循跡系統,●
定速系統,●
倒車雷達,前
防盜系統,●
前座座椅調整,●
座椅記憶功能,●
加熱座椅,●
藍牙通訊,●
音響系統,MP3、CD
音響喇叭數量,12只
頭燈光源,HID
感應頭燈,●
LED尾燈,●
前霧燈,●
後霧燈,●
