Name,Ghost 2017 SWB
新車售價,2049萬起
車身型式,豪華大型房車
動力型式,汽油
變速系統,自排8速
排氣量,6592cc
極速(km/h),250km/h
官方0-100km/h加速(s),4.9s
能源局公佈平均油耗,7.2km/ltr
能源效率等級,3
燃料稅,13950元
牌照稅,69690元
車長(mm),5399mm
車寬(mm),1948mm
車高(mm),1550mm
軸距(mm),3295mm
車重(kg),2360kg
車門數,4門
乘客數,5座
油箱容量(L),82.5L
行李容積(L),480L
前輪距(mm),1622mm
後輪距(mm),1660mm
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型12缸
汽門數,48
壓縮比,10
最大馬力,562hp@5250rpm
最大扭力,79.6kgm@1500rpm
缸徑(mm),88.3mm
衝程(mm),89mm
驅動型式,後輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,四輪碟煞
前輪尺碼,255/50R19
後輪尺碼,255/50R19
引擎擺放位置,前置
電動天窗,○
輪圈規格,19吋
感應式雨刷,●
後視鏡電動折疊,●
後視鏡電動調整,●
方向盤調整,電動4向
多功能方向盤,●
動力方向盤,●
旅程電腦,●
抬頭顯示幕,○
中控鎖,●
衛星導航,●
恆溫空調,四區
後座出風口,●
前座正面氣囊,●
前座側面氣囊,●
後座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISO-FIX
ABS防鎖死,●
煞車輔助系統,EBD
動態穩定系統,ESC
循跡系統,●
定速系統,●
防盜系統,●
電子懸吊,●
座椅材質,皮革
座椅高低調整,雙前座電動
腰部支撐調整,雙前座電動
前座座椅調整,●
後座座椅調整,○
後座杯架,●
後座扶手,●
多媒體系統,DVD
藍牙通訊,●
音響系統,CD
音響喇叭數量,●
頭燈光源,LED
感應頭燈,●
主動轉向頭燈,●
