Name,599 2009 GTB Fiorano
新車售價,暫未公佈
車身型式,雙門跑車
動力型式,汽油
變速系統,自手排6速
排氣量,5999cc
燃料稅,13080元
牌照稅,69690元
車長(mm),4665mm
車寬(mm),1935mm
車高(mm),1336mm
軸距(mm),2750mm
車重(kg),1580kg
車門數,2門
乘客數,2+2座
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,V型12缸
汽門數,48
壓縮比,11.2
最大馬力,620hp@7600rpm
最大扭力,62.0kgm@5600rpm
驅動型式,後輪驅動
前輪懸吊,雙A臂
後輪懸吊,雙A臂
煞車型式,前後碟煞
前輪尺碼,245/40R19  305/30R20
後輪尺碼,245/40R19  305/30R20
感應式雨刷,●
方向盤調整,電動
方向盤換檔,●
旅程電腦,●
Keyless免匙系統,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
胎壓偵測,●
ABS防鎖死,●
循跡系統,●
倒車雷達,●
防盜系統,●
座椅材質,皮革
前座座椅調整,●
座椅記憶功能,●
藍牙通訊,●
音響系統,MP3、CD
音響喇叭數量,10只
頭燈光源,HID
感應頭燈,●
LED尾燈,●
