Name,M'car 2013 1.3 2A手排版,M'car 2013 1.5 2A自排樂活版
新車售價,38.9萬,44.5萬
車身型式,小型掀背車,小型掀背車
動力型式,汽油,汽油
變速系統,手排5速,自排4速
排氣量,1342cc,1498cc
能源局公佈平均油耗,15.5km/ltr,14.2km/ltr
燃料稅,4800元,4800元
牌照稅,7120元,7120元
車長(mm),3598mm,3598mm
車寬(mm),1630mm,1630mm
車高(mm),1465mm,1465mm
軸距(mm),2340mm,2340mm
車重(kg),1000kg,1000kg
車門數,5門,5門
乘客數,5座,5座
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,9.3,9.8
最大馬力,86hp@6000rpm,93hp@6000rpm
最大扭力,11.2kgm@5200rpm,13.1kgm@3400rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑
煞車型式,前碟後鼓,前碟後鼓
前輪尺碼,165/65R14,165/65R14
後輪尺碼,165/65R14,165/65R14
旅程電腦,●,●
中控鎖,●,●
前座正面氣囊,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
倒車雷達,-,●
座椅材質,織布,織布
後座分離式傾倒,●,●
音響系統,CD,CD
音響喇叭數量,4只,4只
前霧燈,-,●
後霧燈,●,●
